 TV_Advertising_Spend , Billboard_Advertising_Spend , Google_Ads_Spend , Social_Media_Advertising_Spend , Influencer_Marketing_Spend , Affiliate_Marketing_Spend , Product_Sold 
 $281.42 , $538.80 , $123.94 , $349.30 , $242.77 , $910.10 ," $7,164.00 "
 $702.97 , $296.53 , $558.13 , $180.55 , $781.06 , $132.43 ," $5,055.00 "
 $313.14 , $295.94 , $642.96 , $505.71 , $438.91 , $464.23 ," $6,154.00 "
 $898.52 , $61.27 , $548.73 , $240.93 , $278.96 , $432.27 ," $5,480.00 "
 $766.52 , $550.72 , $651.91 , $666.33 , $396.33 , $841.93 ," $9,669.00 "
 $507.13 , $612.27 , $230.67 , $142.96 , $171.79 , $965.77 ," $7,627.00 "
 $486.64 , $555.02 , $203.26 , $271.62 , $70.04 , $366.25 ," $5,177.00 "
 $762.09 , $184.57 , $176.61 , $97.85 , $116.67 , $251.74 ," $3,726.00 "
 $638.60 , $778.31 , $796.32 , $759.04 , $857.13 , $515.16 ," $9,801.00 "
 $591.48 , $542.51 , $400.23 , $329.15 , $577.38 , $931.65 ," $8,652.00 "
 $667.17 , $577.85 , $898.19 , $970.28 , $789.52 , $852.99 ," $11,210.00 "
 $787.33 , $947.73 , $884.15 , $992.30 , $871.55 , $742.36 ," $12,227.00 "
 $537.75 , $865.19 , $768.61 , $626.87 , $702.96 , $211.92 ," $8,093.00 "
 $735.78 , $661.81 , $282.00 , $102.96 , $588.45 , $585.74 ," $7,181.00 "
 $631.14 , $207.04 , $939.62 , $358.88 , $515.59 , $778.49 ," $7,910.00 "
 $334.12 , $515.21 , $565.22 , $153.75 , $685.88 , $271.07 ," $5,337.00 "
 $194.33 , $558.81 , $571.82 , $531.53 , $485.40 , $155.53 ," $5,468.00 "
 $955.97 , $890.21 , $343.96 , $609.33 , $62.99 , $307.14 ," $7,937.00 "
 $974.14 , $188.80 , $606.22 , $74.83 , $820.43 , $408.68 ," $6,228.00 "
 $93.47 , $889.82 , $702.23 , $31.38 , $178.92 , $710.91 ," $7,026.00 "
 $853.65 , $958.04 , $810.77 , $347.92 , $120.96 , $38.61 ," $6,966.00 "
 $79.78 , $798.01 , $881.29 , $252.30 , $680.24 , $399.95 ," $6,929.00 "
 $596.80 , $121.50 , $364.02 , $145.03 , $106.09 , $559.05 ," $4,830.00 "
 $297.32 , $168.27 , $38.43 , $968.13 , $238.44 , $636.42 ," $6,425.00 "
 $189.51 , $659.44 , $775.37 , $895.59 , $760.58 , $581.76 ," $9,001.00 "
 $732.71 , $585.45 , $540.89 , $695.95 , $227.02 , $633.09 ," $8,564.00 "
 $214.34 , $283.19 , $654.88 , $855.90 , $0.77 , $145.27 ," $5,008.00 "
 $98.83 , $575.33 , $19.94 , $800.94 , $673.30 , $385.92 ," $6,306.00 "
 $179.73 , $692.17 , $973.09 , $580.06 , $271.49 , $129.04 ," $6,198.00 "
 $830.84 , $240.22 , $303.98 , $793.12 , $739.97 , $430.35 ," $7,423.00 "
 $439.57 , $566.54 , $184.38 , $526.25 , $120.21 , $269.41 ," $5,399.00 "
 $911.58 , $319.00 , $290.08 , $316.48 , $452.77 , $274.45 ," $5,654.00 "
 $862.97 , $656.05 , $337.34 , $834.98 , $827.64 , $308.37 ," $8,512.00 "
 $707.06 , $642.66 , $274.79 , $213.33 , $984.21 , $481.27 ," $7,383.00 "
 $721.50 , $561.22 , $528.76 , $887.10 , $3.28 , $450.98 ," $7,949.00 "
 $909.22 , $28.38 , $600.33 , $758.00 , $872.40 , $306.31 ," $6,987.00 "
 $165.26 , $517.76 , $172.03 , $170.31 , $169.94 , $206.04 ," $3,600.00 "
 $552.49 , $6.01 , $69.07 , $304.15 , $52.77 , $667.78 ," $4,720.00 "
 $922.68 , $467.72 , $871.40 , $664.95 , $827.60 , $385.17 ," $8,744.00 "
 $584.53 , $299.73 , $831.96 , $573.63 , $898.26 , $452.69 ," $7,636.00 "
 $126.30 , $89.18 , $351.92 , $35.43 , $547.99 , $923.44 ," $5,487.00 "
 $766.86 , $164.18 , $72.95 , $471.67 , $959.81 , $720.36 ," $7,316.00 "
 $532.28 , $795.59 , $192.91 , $298.49 , $836.00 , $825.60 ," $8,792.00 "
 $573.64 , $196.64 , $802.07 , $109.31 , $351.06 , $902.89 ," $7,236.00 "
 $327.24 , $910.57 , $942.83 , $32.52 , $846.53 , $57.44 ," $6,136.00 "
 $748.80 , $526.25 , $144.98 , $624.03 , $117.05 , $987.58 ," $8,943.00 "
 $847.61 , $700.94 , $349.72 , $155.25 , $811.17 , $170.85 ," $6,356.00 "
 $357.67 , $945.38 , $924.43 , $586.17 , $868.45 , $85.29 ," $7,806.00 "
 $962.92 , $86.72 , $576.72 , $276.39 , $916.96 , $328.88 ," $6,153.00 "
 $327.43 , $325.09 , $852.14 , $786.06 , $11.18 , $483.10 ," $6,809.00 "
 $637.84 , $191.38 , $629.57 , $470.89 , $241.79 , $270.87 ," $5,356.00 "
 $800.50 , $358.92 , $982.04 , $192.20 , $246.33 , $64.39 ," $5,182.00 "
 $297.49 , $317.84 , $449.90 , $257.88 , $200.25 , $311.59 ," $4,373.00 "
 $458.15 , $539.02 , $394.62 , $829.00 , $522.14 , $240.13 ," $6,779.00 "
 $187.95 , $912.23 , $337.43 , $206.61 , $47.44 , $616.45 ," $6,667.00 "
 $908.42 , $417.74 , $358.10 , $230.22 , $654.42 , $542.42 ," $7,124.00 "
 $800.14 , $576.92 , $984.33 , $254.77 , $285.79 , $689.01 ," $8,554.00 "
 $217.39 , $533.83 , $526.94 , $393.81 , $486.13 , $390.64 ," $5,957.00 "
 $236.29 , $335.11 , $480.23 , $555.73 , $527.03 , $71.12 ," $4,499.00 "
 $966.65 , $20.64 , $439.86 , $496.81 , $282.27 , $595.38 ," $6,598.00 "
 $946.68 , $429.45 , $603.51 , $910.23 , $479.18 , $902.26 ," $10,543.00 "
 $480.33 , $386.61 , $926.80 , $901.98 , $559.91 , $949.15 ," $10,223.00 "
 $107.84 , $373.19 , $502.84 , $407.08 , $628.77 , $185.25 ," $4,593.00 "
 $929.58 , $532.21 , $736.11 , $557.15 , $775.83 , $206.43 ," $7,723.00 "
 $773.82 , $831.53 , $960.70 , $353.72 , $394.54 , $192.38 ," $7,611.00 "
 $367.73 , $824.44 , $566.91 , $767.46 , $781.79 , $327.23 ," $8,216.00 "
 $226.60 , $11.00 , $71.35 , $11.69 , $485.85 , $791.91 ," $4,384.00 "
 $576.73 , $756.33 , $87.96 , $369.57 , $223.60 , $914.72 ," $8,421.00 "
 $4.95 , $667.51 , $14.86 , $873.18 , $825.37 , $510.47 ," $7,236.00 "
 $976.88 , $832.08 , $79.47 , $619.22 , $368.12 , $260.66 ," $7,584.00 "
 $402.63 , $638.90 , $236.86 , $917.84 , $105.81 , $859.22 ," $8,925.00 "
 $254.30 , $526.40 , $448.11 , $694.84 , $176.67 , $928.28 ," $8,428.00 "
 $211.37 , $925.49 , $614.64 , $918.84 , $695.52 , $599.91 ," $9,658.00 "
 $579.98 , $330.09 , $787.75 , $438.44 , $193.77 , $257.00 ," $5,688.00 "
 $306.18 , $137.08 , $549.85 , $725.44 , $890.43 , $381.03 ," $6,245.00 "
 $592.24 , $73.40 , $847.47 , $595.24 , $721.16 , $931.95 ," $8,744.00 "
 $503.08 , $875.25 , $57.35 , $837.40 , $49.45 , $493.39 ," $7,838.00 "
 $628.35 , $943.41 , $461.31 , $162.85 , $344.75 , $318.33 ," $6,860.00 "
 $344.11 , $179.19 , $30.19 , $535.22 , $118.13 , $353.31 ," $4,151.00 "
 $814.57 , $795.23 , $539.03 , $630.16 , $150.17 , $378.63 ," $8,099.00 "
 $275.46 , $334.21 , $974.15 , $657.96 , $338.91 , $501.63 ," $7,087.00 "
 $516.34 , $682.94 , $670.66 , $593.97 , $665.91 , $237.67 ," $7,321.00 "
 $438.10 , $556.71 , $823.93 , $362.43 , $576.68 , $19.49 ," $5,453.00 "
 $309.23 , $254.62 , $616.46 , $888.42 , $216.48 , $901.14 ," $8,380.00 "
 $280.46 , $676.19 , $729.46 , $539.74 , $548.07 , $324.90 ," $6,984.00 "
 $627.10 , $520.53 , $461.58 , $646.87 , $999.79 , $681.44 ," $9,037.00 "
 $472.66 , $288.53 , $836.27 , $679.08 , $490.43 , $294.00 ," $6,525.00 "
 $484.30 , $857.63 , $969.60 , $50.03 , $807.26 , $22.11 ," $6,184.00 "
 $253.65 , $51.38 , $417.09 , $689.61 , $885.97 , $74.93 ," $4,368.00 "
 $564.09 , $321.15 , $590.16 , $161.65 , $109.30 , $776.77 ," $6,603.00 "
 $154.83 , $302.06 , $911.95 , $100.35 , $143.65 , $623.62 ," $5,519.00 "
 $909.36 , $487.33 , $344.62 , $285.48 , $91.26 , $926.73 ," $8,320.00 "
 $867.51 , $932.27 , $148.90 , $373.02 , $570.23 , $531.79 ," $8,504.00 "
 $992.99 , $831.97 , $982.63 , $361.36 , $331.65 , $574.97 ," $9,553.00 "
 $331.82 , $175.46 , $763.60 , $352.17 , $256.97 , $372.70 ," $5,019.00 "
 $479.95 , $842.11 , $196.97 , $595.41 , $883.59 , $337.10 ," $7,677.00 "
 $788.17 , $825.42 , $912.89 , $235.03 , $938.70 , $907.57 ," $10,763.00 "
 $540.69 , $326.95 , $362.71 , $597.94 , $255.60 , $635.30 ," $6,959.00 "
 $679.14 , $447.24 , $395.30 , $421.19 , $565.18 , $169.63 ," $5,692.00 "
 $283.57 , $358.42 , $213.66 , $29.11 , $622.68 , $90.42 ," $3,141.00 "
 $751.82 , $145.44 , $471.13 , $744.64 , $534.31 , $809.25 ," $8,387.00 "
 $835.52 , $315.69 , $142.37 , $764.15 , $563.82 , $833.02 ," $8,760.00 "
 $5.77 , $169.34 , $725.49 , $477.59 , $363.65 , $429.30 ," $4,945.00 "
 $322.00 , $605.12 , $47.46 , $531.50 , $839.57 , $694.12 ," $7,639.00 "
 $927.85 , $609.14 , $185.13 , $117.63 , $326.15 , $685.77 ," $7,395.00 "
 $142.99 , $644.11 , $93.04 , $221.03 , $547.35 , $968.01 ," $7,430.00 "
 $196.22 , $945.14 , $807.19 , $314.81 , $691.84 , $293.48 ," $7,219.00 "
 $204.80 , $416.06 , $743.94 , $884.94 , $11.75 , $750.43 ," $8,000.00 "
 $899.43 , $712.96 , $760.18 , $762.53 , $75.72 , $378.28 ," $8,576.00 "
 $204.63 , $624.34 , $566.31 , $379.17 , $952.84 , $786.09 ," $8,368.00 "
 $100.60 , $606.55 , $88.07 , $681.03 , $251.50 , $68.65 ," $4,427.00 "
 $837.69 , $633.04 , $348.36 , $48.06 , $649.56 , $834.14 ," $8,332.00 "
 $319.67 , $510.24 , $421.67 , $851.19 , $21.56 , $377.89 ," $6,473.00 "
 $481.36 , $142.48 , $493.66 , $588.10 , $784.36 , $814.73 ," $7,803.00 "
 $632.14 , $332.75 , $875.67 , $63.47 , $979.73 , $85.44 ," $5,255.00 "
 $791.08 , $238.26 , $369.80 , $199.95 , $378.52 , $285.02 ," $4,941.00 "
 $747.35 , $261.12 , $37.92 , $934.60 , $770.30 , $710.22 ," $8,425.00 "
 $675.29 , $182.00 , $805.35 , $547.92 , $414.81 , $769.94 ," $8,039.00 "
 $288.31 , $233.38 , $936.94 , $349.42 , $598.62 , $54.17 ," $4,481.00 "
 $411.39 , $336.15 , $206.56 , $411.67 , $502.62 , $763.13 ," $6,831.00 "
 $983.40 , $583.08 , $544.15 , $443.14 , $791.00 , $864.11 ," $10,049.00 "
 $536.33 , $759.45 , $451.21 , $653.83 , $614.92 , $160.29 ," $7,044.00 "
 $250.42 , $727.86 , $310.57 , $360.10 , $267.09 , $389.70 ," $5,931.00 "
 $775.64 , $605.60 , $605.68 , $189.84 , $732.13 , $923.42 ," $9,318.00 "
 $297.55 , $132.32 , $771.99 , $810.67 , $480.55 , $280.30 ," $5,881.00 "
 $394.30 , $741.23 , $353.72 , $320.03 , $956.05 , $436.94 ," $7,231.00 "
 $375.35 , $860.54 , $694.24 , $408.09 , $61.92 , $325.88 ," $6,763.00 "
 $341.92 , $886.64 , $355.31 , $663.60 , $278.87 , $718.15 ," $8,737.00 "
 $318.73 , $858.87 , $896.81 , $485.14 , $929.73 , $459.97 ," $8,724.00 "
 $972.28 , $816.97 , $430.30 , $401.46 , $555.19 , $351.30 ," $8,130.00 "
 $350.30 , $185.30 , $353.98 , $574.66 , $1.10 , $860.70 ," $6,678.00 "
 $520.95 , $278.31 , $634.73 , $510.64 , $449.85 , $413.95 ," $6,281.00 "
 $642.75 , $878.10 , $999.23 , $662.46 , $117.02 , $454.20 ," $9,006.00 "
 $383.91 , $864.55 , $673.49 , $809.05 , $927.93 , $318.49 ," $8,776.00 "
 $427.73 , $791.70 , $179.24 , $487.63 , $901.61 , $211.18 ," $6,657.00 "
 $377.42 , $813.58 , $167.37 , $588.21 , $966.39 , $532.65 ," $8,198.00 "
 $767.60 , $819.62 , $663.57 , $144.69 , $342.12 , $262.48 ," $6,802.00 "
 $670.26 , $56.23 , $487.73 , $679.19 , $179.20 , $789.95 ," $7,331.00 "
 $447.56 , $727.43 , $144.06 , $317.25 , $251.04 , $981.17 ," $8,313.00 "
 $14.03 , $659.34 , $112.32 , $425.96 , $998.30 , $936.46 ," $8,178.00 "
